"filename", "language", "Markdown", "Java", "XML", "SQL", "comment", "blank", "total"
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\SectionPanel$5.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\SectionPanel.class", "Java", 0, 96, 0, 0, 0, 0, 96
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StaffPanel$1.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StaffPanel$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StaffPanel$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StaffPanel.class", "Java", 0, 57, 0, 0, 0, 0, 57
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StartPanel$1.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StartPanel$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StartPanel$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StartPanel$4.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StartPanel$5.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StartPanel$6.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StartPanel.class", "Java", 0, 69, 0, 0, 0, 0, 69
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentEdit$1.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentEdit$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentEdit$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentEdit$4.class", "Java", 0, 8, 0, 0, 0, 0, 8
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentEdit$5.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentEdit$6.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentEdit$7.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentEdit.class", "Java", 0, 102, 0, 0, 6, 0, 108
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentPanel$1.class", "Java", 0, 8, 0, 0, 0, 0, 8
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentPanel$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentPanel$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentPanel$4.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentPanel$5.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentPanel$6.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\StudentPanel.class", "Java", 0, 110, 0, 0, 10, 0, 120
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherEdit$1.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherEdit$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherEdit$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\TeacherEdit$4.class", "Java", 0, 11, 0, 0, 0, 0, 11
